name,date,measure,trump_position,vote,agreement_likelihood,plus_minus
Cory Gardner,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.858,0.142
Cory Gardner,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.262,0.738
Cory Gardner,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.25,0.75
Cory Gardner,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.231,0.769
Cory Gardner,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.262,0.738
Cory Gardner,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.251,0.749
Cory Gardner,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.383,0.617
Cory Gardner,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.266,0.734
Cory Gardner,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.563,0.437
Cory Gardner,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.64,0.36
Cory Gardner,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.177,0.823
Cory Gardner,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.254,0.746
Cory Gardner,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.225,0.775
Cory Gardner,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.797,0.203
Cory Gardner,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Cory Gardner,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.247,0.753
Cory Gardner,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.274,0.726
Cory Gardner,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.247,0.753
Cory Gardner,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.241,0.759
Cory Gardner,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.27,0.73
Cory Gardner,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.171,0.829
Cory Gardner,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.275,0.725
Cory Gardner,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.963,0.037
Cory Gardner,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.958,0.042
Cory Gardner,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.549,0.451
Cory Gardner,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.889,0.111
Cory Gardner,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.996,0.004
Cory Gardner,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.805,0.195
Cory Gardner,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.272,0.728
Dean Heller,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.876,0.124
Dean Heller,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.315,0.685
Dean Heller,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.301,0.699
Dean Heller,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.377,0.623
Dean Heller,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.315,0.685
Dean Heller,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.303,0.697
Dean Heller,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.503,0.497
Dean Heller,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.373,0.627
Dean Heller,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.666,0.334
Dean Heller,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.69,0.31
Dean Heller,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.256,0.744
Dean Heller,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.306,0.694
Dean Heller,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.325,0.675
Dean Heller,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.839,0.161
Dean Heller,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Dean Heller,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.309,0.691
Dean Heller,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.329,0.671
Dean Heller,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.309,0.691
Dean Heller,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.292,0.708
Dean Heller,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.324,0.676
Dean Heller,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.264,0.736
Dean Heller,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.352,0.648
Dean Heller,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.973,0.027
Dean Heller,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.964,0.036
Dean Heller,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.598,0.402
Dean Heller,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.909,0.091
Dean Heller,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.997,0.003
Dean Heller,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.835,0.165
Dean Heller,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.321,0.679
Patrick J. Toomey,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.896,0.104
Patrick J. Toomey,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.387,0.613
Patrick J. Toomey,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.372,0.628
Patrick J. Toomey,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.586,0.414
Patrick J. Toomey,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.387,0.613
Patrick J. Toomey,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.374,0.626
Patrick J. Toomey,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.652,0.348
Patrick J. Toomey,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.523,0.477
Patrick J. Toomey,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.78,0.22
Patrick J. Toomey,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.749,0.251
Patrick J. Toomey,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.377,0.623
Patrick J. Toomey,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.379,0.621
Patrick J. Toomey,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.472,0.528
Patrick J. Toomey,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.882,0.118
Patrick J. Toomey,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Patrick J. Toomey,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.397,0.603
Patrick J. Toomey,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.405,0.595
Patrick J. Toomey,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.397,0.603
Patrick J. Toomey,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.363,0.637
Patrick J. Toomey,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.396,0.604
Patrick J. Toomey,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.409,0.591
Patrick J. Toomey,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.457,0.543
Patrick J. Toomey,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.983,0.017
Patrick J. Toomey,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.971,0.029
Patrick J. Toomey,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.657,0.343
Patrick J. Toomey,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.93,0.07
Patrick J. Toomey,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.998,0.002
Patrick J. Toomey,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.869,0.131
